Datum,Solskenstid
2014-01-01,4.597222222222222
2014-01-02,0.0
2014-01-03,0.0
2014-01-04,97.25462962962963
2014-01-05,39.949074074074076
2014-01-06,128.63888888888889
2014-01-07,26.444444444444443
2014-01-08,65.23148148148148
2014-01-09,0.0
2014-01-10,99.89814814814815
2014-01-11,7.62037037037037
2014-01-12,189.15277777777777
2014-01-13,208.22685185185185
2014-01-14,0.0
2014-01-15,77.08796296296296
2014-01-16,96.58333333333333
2014-01-17,78.19907407407408
2014-01-18,13.143518518518519
2014-01-19,109.94907407407408
2014-01-20,439.31944444444446
2014-01-21,446.2638888888889
2014-01-22,138.1712962962963
2014-01-23,85.50462962962963
2014-01-24,90.67129629629629
2014-01-25,23.25925925925926
2014-01-26,71.97222222222223
2014-01-27,2.0694444444444446
2014-01-28,2.0833333333333335
2014-01-29,49.49074074074074
2014-01-30,0.0
2014-01-31,0.0
2014-02-01,0.0
2014-02-02,70.20833333333333
2014-02-03,152.20833333333334
2014-02-04,197.35185185185185
2014-02-05,293.962962962963
2014-02-06,4.75462962962963
2014-02-07,0.0
2014-02-08,139.52314814814815
2014-02-09,7.069444444444445
2014-02-10,81.93981481481481
2014-02-11,22.50925925925926
2014-02-12,115.99074074074075
2014-02-13,26.03240740740741
2014-02-14,26.85185185185185
2014-02-15,20.046296296296298
2014-02-16,164.49074074074073
2014-02-17,834.3981481481482
2014-02-18,465.50925925925924
2014-02-19,82.55555555555556
2014-02-20,60.976851851851855
2014-02-21,37.648148148148145
2014-02-22,417.5740740740741
2014-02-23,482.68981481481484
2014-02-24,510.3009259259259
2014-02-25,690.9305555555555
2014-02-26,25.444444444444443
2014-02-27,82.78703703703704
2014-02-28,7.083333333333333
2014-03-01,14.282407407407407
2014-03-02,0.0
2014-03-03,209.84722222222223
2014-03-04,467.81018518518516
2014-03-05,91.69444444444444
2014-03-06,523.2314814814815
2014-03-07,373.34722222222223
2014-03-08,1355.537037037037
2014-03-09,1233.1342592592594
2014-03-10,647.5046296296297
2014-03-11,1448.9537037037037
2014-03-12,1485.8101851851852
2014-03-13,1519.4907407407406
2014-03-14,1022.8333333333334
2014-03-15,849.7546296296297
2014-03-16,1167.7222222222222
2014-03-17,820.7453703703703
2014-03-18,351.19444444444446
2014-03-19,108.17592592592592
2014-03-20,114.52314814814815
2014-03-21,973.4768518518518
2014-03-22,1150.087962962963
2014-03-23,1049.2083333333333
2014-03-24,1224.736111111111
2014-03-25,795.9722222222222
2014-03-26,133.58796296296296
2014-03-27,1055.5416666666667
2014-03-28,1768.648148148148
2014-03-29,1784.4398148148148
2014-03-30,1538.736111111111
2014-03-31,861.6157407407408
2014-04-01,1217.388888888889
2014-04-02,1578.2592592592594
2014-04-03,1259.111111111111
2014-04-04,1902.587962962963
2014-04-05,1203.9907407407406
2014-04-06,364.89351851851853
2014-04-07,144.06944444444446
2014-04-08,16.444444444444443
2014-04-09,82.14351851851852
2014-04-10,871.2175925925926
2014-04-11,661.5462962962963
2014-04-12,1115.2222222222222
2014-04-13,1164.601851851852
2014-04-14,1575.837962962963
2014-04-15,1497.3287037037037
2014-04-16,1560.6296296296296
2014-04-17,699.4120370370371
2014-04-18,791.4537037037037
2014-04-19,1828.9212962962963
2014-04-20,2040.263888888889
2014-04-21,2042.861111111111
2014-04-22,1815.6898148148148
2014-04-23,1968.8564814814815
2014-04-24,2016.7407407407406
2014-04-25,1792.0046296296296
2014-04-26,1956.3148148148148
2014-04-27,2093.087962962963
2014-04-28,2031.4074074074074
2014-04-29,1488.7685185185185
2014-04-30,1050.5833333333333
2014-05-01,1450.9722222222222
2014-05-02,1886.5416666666667
2014-05-03,1390.5277777777778
2014-05-04,1831.412037037037
2014-05-05,1672.9027777777778
2014-05-06,530.2083333333334
2014-05-07,148.16666666666666
2014-05-08,220.25
2014-05-09,502.837962962963
2014-05-10,611.199074074074
2014-05-11,101.06018518518519
2014-05-12,348.5509259259259
2014-05-13,372.65277777777777
2014-05-14,1155.4398148148148
2014-05-15,1679.337962962963
2014-05-16,1893.9166666666667
2014-05-17,2211.597222222222
2014-05-18,1321.75
2014-05-19,724.0925925925926
2014-05-20,1446.7037037037037
2014-05-21,1789.0740740740741
2014-05-22,2179.3333333333335
2014-05-23,1916.412037037037
2014-05-24,1518.1759259259259
2014-05-25,1418.3055555555557
2014-05-26,2046.375
2014-05-27,1305.111111111111
2014-05-28,1717.0555555555557
2014-05-29,2245.3935185185187
2014-05-30,724.25
2014-05-31,1131.3935185185185
2014-06-01,2177.3935185185187
2014-06-02,2290.550925925926
2014-06-03,500.9953703703704
2014-06-04,92.42592592592592
2014-06-05,638.7546296296297
2014-06-06,1097.9444444444443
2014-06-07,1259.0046296296296
2014-06-08,2132.4166666666665
2014-06-09,2176.1481481481483
2014-06-10,2364.175925925926
2014-06-11,1304.013888888889
2014-06-12,1773.75
2014-06-13,979.0324074074074
2014-06-14,2009.2314814814815
2014-06-15,2131.4074074074074
2014-06-16,1182.4537037037037
2014-06-17,1476.5046296296296
2014-06-18,1875.1666666666667
2014-06-19,680.3379629629629
2014-06-20,1260.3101851851852
2014-06-21,1114.5740740740741
2014-06-22,1373.8425925925926
2014-06-23,1404.9907407407406
2014-06-24,1303.75
2014-06-25,1554.5324074074074
2014-06-26,1668.8657407407406
2014-06-27,1239.601851851852
2014-06-28,241.33796296296296
2014-06-29,167.12037037037038
2014-06-30,861.8101851851852
2014-07-01,736.5833333333334
2014-07-02,1497.6157407407406
2014-07-03,912.7546296296297
2014-07-04,1965.087962962963
2014-07-05,1793.7037037037037
