Datum,Nederbördsmängd
2014-01-01,0.22647058823529412
2014-01-02,5.490196078431373
2014-01-03,2.7127450980392154
2014-01-04,1.7676470588235296
2014-01-05,2.388235294117647
2014-01-06,3.0257425742574258
2014-01-07,5.033333333333333
2014-01-08,1.2941176470588236
2014-01-09,12.443137254901961
2014-01-10,2.4465346534653465
2014-01-11,3.015841584158416
2014-01-12,1.7643564356435641
2014-01-13,1.2705882352941176
2014-01-14,2.7116504854368935
2014-01-15,2.9805825242718447
2014-01-16,0.35339805825242715
2014-01-17,0.7611650485436894
2014-01-18,0.48058252427184467
2014-01-19,0.17766990291262136
2014-01-20,0.02621359223300971
2014-01-21,0.04951456310679611
2014-01-22,0.20388349514563106
2014-01-23,0.23980582524271843
2014-01-24,0.06796116504854369
2014-01-25,0.020388349514563107
2014-01-26,0.7669902912621359
2014-01-27,2.785436893203883
2014-01-28,0.7864077669902912
2014-01-29,1.5475728155339807
2014-01-30,2.75631067961165
2014-01-31,4.614563106796116
2014-02-01,1.596116504854369
2014-02-02,0.6116504854368932
2014-02-03,0.07864077669902912
2014-02-04,0.05533980582524272
2014-02-05,0.2145631067961165
2014-02-06,0.5242718446601942
2014-02-07,8.355339805825244
2014-02-08,4.027184466019418
2014-02-09,4.3
2014-02-10,0.5407766990291263
2014-02-11,1.0990291262135923
2014-02-12,0.6747572815533981
2014-02-13,2.297087378640777
2014-02-14,0.4766990291262136
2014-02-15,6.1058252427184465
2014-02-16,2.7650485436893204
2014-02-17,0.05533980582524271
2014-02-18,2.9194174757281552
2014-02-19,3.7825242718446606
2014-02-20,6.261165048543689
2014-02-21,5.611650485436893
2014-02-22,1.4650485436893204
2014-02-23,0.15825242718446603
2014-02-24,0.0019417475728155341
2014-02-25,0.018446601941747572
2014-02-26,0.7203883495145631
2014-02-27,1.2990291262135922
2014-02-28,1.814423076923077
2014-03-01,1.1701923076923078
2014-03-02,3.026923076923077
2014-03-03,0.016346153846153847
2014-03-04,0.02403846153846154
2014-03-05,0.011538461538461537
2014-03-06,0.5067307692307692
2014-03-07,1.8913461538461538
2014-03-08,0.011538461538461537
2014-03-09,0.0
2014-03-10,1.1644230769230768
2014-03-11,0.0
2014-03-12,0.0
2014-03-13,0.0
2014-03-14,10.70096153846154
2014-03-15,0.25
2014-03-16,1.9182692307692308
2014-03-17,0.6009615384615384
2014-03-18,2.0307692307692307
2014-03-19,7.170192307692308
2014-03-20,0.9586538461538462
2014-03-21,0.057692307692307696
2014-03-22,0.5807692307692307
2014-03-23,0.11826923076923078
2014-03-24,0.020192307692307693
2014-03-25,2.575
2014-03-26,2.1961538461538463
2014-03-27,0.025
2014-03-28,0.0
2014-03-29,0.0
2014-03-30,0.2528846153846154
2014-03-31,0.175
2014-04-01,0.005769230769230769
2014-04-02,0.0
2014-04-03,0.0
2014-04-04,0.0
2014-04-05,0.6230769230769231
2014-04-06,2.7163461538461537
2014-04-07,4.0509615384615385
2014-04-08,17.61826923076923
2014-04-09,1.65
2014-04-10,1.1317307692307692
2014-04-11,0.5326923076923077
2014-04-12,2.4048076923076924
2014-04-13,0.3048076923076923
2014-04-14,0.17692307692307693
2014-04-15,0.008653846153846153
2014-04-16,0.004807692307692308
2014-04-17,3.4192307692307695
2014-04-18,0.24423076923076922
2014-04-19,0.00673076923076923
2014-04-20,0.0
2014-04-21,0.0
2014-04-22,0.0
2014-04-23,0.0
2014-04-24,0.015384615384615385
2014-04-25,0.00673076923076923
2014-04-26,0.0
2014-04-27,0.0
2014-04-28,0.035576923076923075
2014-04-29,0.036538461538461534
2014-04-30,3.425
2014-05-01,0.09615384615384616
2014-05-02,0.0038461538461538464
2014-05-03,0.17211538461538461
2014-05-04,0.06153846153846154
2014-05-05,0.475
2014-05-06,7.570192307692308
2014-05-07,11.600000000000001
2014-05-08,5.326923076923077
2014-05-09,2.7514563106796115
2014-05-10,1.4485436893203882
2014-05-11,6.147572815533981
2014-05-12,3.378640776699029
2014-05-13,1.7398058252427184
2014-05-14,1.0854368932038834
2014-05-15,0.09223300970873786
2014-05-16,0.0
2014-05-17,0.0
2014-05-18,1.1844660194174756
2014-05-19,7.061538461538461
2014-05-20,0.18365384615384617
2014-05-21,0.6471153846153845
2014-05-22,0.0
2014-05-23,1.651923076923077
2014-05-24,4.539423076923077
2014-05-25,0.6192307692307693
2014-05-26,0.0038461538461538464
2014-05-27,0.0
2014-05-28,0.0
2014-05-29,0.2375
2014-05-30,2.1653846153846152
2014-05-31,0.6192307692307693
2014-06-01,0.07142857142857142
2014-06-02,0.08476190476190476
2014-06-03,7.215238095238096
2014-06-04,1.4257142857142857
2014-06-05,3.123809523809524
2014-06-06,3.5142857142857142
2014-06-07,1.8409523809523811
2014-06-08,0.15523809523809526
2014-06-09,0.08952380952380953
2014-06-10,0.14903846153846154
2014-06-11,2.1375
2014-06-12,2.169230769230769
2014-06-13,1.0278846153846155
2014-06-14,0.0
2014-06-15,0.6884615384615385
2014-06-16,0.5307692307692308
2014-06-17,0.125
2014-06-18,1.5115384615384615
2014-06-19,4.921153846153846
2014-06-20,0.43653846153846154
2014-06-21,0.864423076923077
2014-06-22,1.2923076923076924
2014-06-23,2.021153846153846
2014-06-24,0.11346153846153847
2014-06-25,1.1211538461538462
2014-06-26,3.066346153846154
2014-06-27,9.321153846153846
2014-06-28,14.291346153846153
2014-06-29,5.991346153846154
2014-06-30,2.0961538461538463
2014-07-01,3.8617647058823525
2014-07-02,1.4098039215686275
2014-07-03,2.111764705882353
2014-07-04,0.00196078431372549
2014-07-05,0.008823529411764706
