Datum,Snödjup
2014-01-01,0.0
2014-01-02,0.0013432835820895521
2014-01-03,0.0026865671641791047
2014-01-04,0.00014925373134328358
2014-01-05,0.0
2014-01-06,0.00014925373134328358
2014-01-07,0.003676470588235294
2014-01-08,0.0
2014-01-09,0.0
2014-01-10,0.012794117647058824
2014-01-11,0.02787878787878788
2014-01-12,0.050909090909090904
2014-01-13,0.07
2014-01-14,0.07895522388059702
2014-01-15,0.10786666666666667
2014-01-16,0.13484848484848486
2014-01-17,0.136
2014-01-18,0.136875
2014-01-19,0.13899999999999998
2014-01-20,0.13892307692307693
2014-01-21,0.13338461538461538
2014-01-22,0.12984615384615383
2014-01-23,0.12578125
2014-01-24,0.12584615384615383
2014-01-25,0.12396825396825398
2014-01-26,0.1207936507936508
2014-01-27,0.12936507936507938
2014-01-28,0.154375
2014-01-29,0.15969230769230772
2014-01-30,0.1703125
2014-01-31,0.18986666666666666
2014-02-01,0.2183076923076923
2014-02-02,0.19066666666666665
2014-02-03,0.14757575757575758
2014-02-04,0.12203125000000001
2014-02-05,0.10939393939393939
2014-02-06,0.11246153846153847
2014-02-07,0.09876923076923076
2014-02-08,0.07692307692307693
2014-02-09,0.06258064516129032
2014-02-10,0.05555555555555555
2014-02-11,0.04402777777777778
2014-02-12,0.044057971014492756
2014-02-13,0.04552238805970149
2014-02-14,0.05042857142857143
2014-02-15,0.038125
2014-02-16,0.04190476190476191
2014-02-17,0.042173913043478256
2014-02-18,0.032985074626865674
2014-02-19,0.034923076923076925
2014-02-20,0.06608695652173914
2014-02-21,0.0789041095890411
2014-02-22,0.06686567164179105
2014-02-23,0.044375
2014-02-24,0.02347826086956522
2014-02-25,0.020144927536231885
2014-02-26,0.016857142857142855
2014-02-27,0.020555555555555556
2014-02-28,0.015571428571428573
2014-03-01,0.017272727272727273
2014-03-02,0.0203125
2014-03-03,0.026865671641791045
2014-03-04,0.017499999999999998
2014-03-05,0.021515151515151515
2014-03-06,0.014545454545454547
2014-03-07,0.010447761194029851
2014-03-08,0.006666666666666667
2014-03-09,0.003064516129032258
2014-03-10,0.0013432835820895524
2014-03-11,0.0002898550724637681
2014-03-12,0.0
2014-03-13,0.0
2014-03-14,0.004179104477611941
2014-03-15,0.012058823529411764
2014-03-16,0.010158730158730159
2014-03-17,0.022535211267605635
2014-03-18,0.017857142857142856
2014-03-19,0.016029411764705882
2014-03-20,0.05436619718309859
