Datum,Lufttemperatur
2014-01-01,2.297183098591549
2014-01-02,3.0591549295774647
2014-01-03,3.7366197183098593
2014-01-04,4.50281690140845
2014-01-05,2.628169014084507
2014-01-06,3.1253521126760564
2014-01-07,5.92112676056338
2014-01-08,5.646478873239436
2014-01-09,4.204225352112676
2014-01-10,-0.3802816901408451
2014-01-11,-1.5788732394366196
2014-01-12,-6.7197183098591555
2014-01-13,-9.466197183098592
2014-01-14,-4.740845070422536
2014-01-15,-4.268055555555556
2014-01-16,-4.134722222222222
2014-01-17,-5.876388888888889
2014-01-18,-4.918055555555556
2014-01-19,-4.038888888888889
2014-01-20,-4.356944444444444
2014-01-21,-4.920833333333333
2014-01-22,-6.019444444444444
2014-01-23,-7.697222222222223
2014-01-24,-5.968055555555555
2014-01-25,-5.627777777777777
2014-01-26,-4.759722222222222
2014-01-27,-2.9194444444444443
2014-01-28,-1.5944444444444443
2014-01-29,-3.798611111111111
2014-01-30,-4.270833333333333
2014-01-31,-4.290277777777778
2014-02-01,-1.1666666666666667
2014-02-02,1.3680555555555556
2014-02-03,1.3125
2014-02-04,0.4986111111111111
2014-02-05,-0.1722222222222222
2014-02-06,0.23194444444444443
2014-02-07,1.8499999999999999
2014-02-08,2.4430555555555555
2014-02-09,2.2291666666666665
2014-02-10,2.4680555555555554
2014-02-11,1.3152777777777778
2014-02-12,1.1652777777777779
2014-02-13,1.2194444444444443
2014-02-14,1.448611111111111
2014-02-15,2.102777777777778
2014-02-16,3.488888888888889
2014-02-17,2.9430555555555555
2014-02-18,0.08055555555555555
2014-02-19,-0.4277777777777778
2014-02-20,-0.35833333333333334
2014-02-21,2.0458333333333334
2014-02-22,2.836111111111111
2014-02-23,4.648611111111111
2014-02-24,5.690277777777777
2014-02-25,3.098611111111111
2014-02-26,2.2555555555555555
2014-02-27,2.288888888888889
2014-02-28,2.486111111111111
2014-03-01,1.6527777777777777
2014-03-02,1.2902777777777779
2014-03-03,1.947222222222222
2014-03-04,2.986111111111111
2014-03-05,1.9791666666666667
2014-03-06,3.3375000000000004
2014-03-07,5.897222222222222
2014-03-08,5.002777777777777
2014-03-09,7.365277777777777
2014-03-10,5.548611111111111
2014-03-11,3.3916666666666666
2014-03-12,5.701388888888889
2014-03-13,5.141666666666667
2014-03-14,4.576388888888889
2014-03-15,2.990277777777778
2014-03-16,0.8291666666666667
2014-03-17,2.558333333333333
2014-03-18,1.6333333333333333
2014-03-19,0.7930555555555556
2014-03-20,4.668055555555556
2014-03-21,7.163888888888888
2014-03-22,4.8805555555555555
2014-03-23,4.4
2014-03-24,3.4305555555555554
2014-03-25,2.7319444444444443
2014-03-26,2.9027777777777777
2014-03-27,4.4125
2014-03-28,5.034722222222222
2014-03-29,5.518055555555556
2014-03-30,5.280555555555555
2014-03-31,3.341666666666667
2014-04-01,1.4611111111111112
2014-04-02,2.1569444444444446
2014-04-03,2.5999999999999996
2014-04-04,2.2416666666666667
2014-04-05,3.451388888888889
2014-04-06,6.838888888888889
2014-04-07,7.25
2014-04-08,5.201388888888889
2014-04-09,3.088888888888889
2014-04-10,3.5833333333333335
2014-04-11,6.3125
2014-04-12,5.411111111111111
2014-04-13,7.5569444444444445
2014-04-14,6.740277777777778
2014-04-15,6.073611111111111
2014-04-16,5.375
2014-04-17,7.286111111111111
2014-04-18,6.673611111111111
2014-04-19,7.831944444444444
2014-04-20,9.524999999999999
2014-04-21,10.823611111111111
2014-04-22,10.786111111111111
2014-04-23,7.673611111111111
2014-04-24,6.354166666666667
2014-04-25,8.379166666666666
2014-04-26,10.209722222222222
2014-04-27,11.413888888888888
2014-04-28,12.559722222222222
2014-04-29,9.872222222222222
2014-04-30,6.486111111111111
2014-05-01,4.427777777777778
2014-05-02,5.1305555555555555
2014-05-03,5.968055555555555
2014-05-04,5.090277777777778
2014-05-05,5.422222222222222
2014-05-06,5.309722222222223
2014-05-07,4.876388888888889
2014-05-08,6.058333333333334
2014-05-09,7.4319444444444445
2014-05-10,7.854166666666667
2014-05-11,7.879166666666666
2014-05-12,8.648611111111112
2014-05-13,9.00138888888889
2014-05-14,8.569444444444445
2014-05-15,9.234722222222222
2014-05-16,13.223611111111111
2014-05-17,13.863888888888889
2014-05-18,14.01388888888889
2014-05-19,12.965277777777779
2014-05-20,14.356944444444444
2014-05-21,16.270833333333332
2014-05-22,19.487499999999997
2014-05-23,19.82361111111111
2014-05-24,18.044444444444444
2014-05-25,16.394444444444446
2014-05-26,14.384722222222223
2014-05-27,9.759722222222223
2014-05-28,8.625
2014-05-29,11.523611111111112
2014-05-30,11.774999999999999
2014-05-31,12.929166666666667
2014-06-01,13.942465753424656
2014-06-02,14.05890410958904
2014-06-03,12.33013698630137
2014-06-04,13.354794520547944
2014-06-05,14.66027397260274
2014-06-06,14.497260273972602
2014-06-07,14.34109589041096
2014-06-08,17.238356164383564
2014-06-09,18.612328767123287
2014-06-10,18.258904109589043
2014-06-11,17.486301369863014
2014-06-12,16.15890410958904
2014-06-13,13.979452054794521
2014-06-14,13.32054794520548
2014-06-15,14.708219178082192
2014-06-16,13.860273972602739
2014-06-17,12.520547945205479
2014-06-18,15.767123287671232
2014-06-19,13.398630136986302
2014-06-20,11.163013698630136
2014-06-21,10.457534246575342
2014-06-22,10.73013698630137
2014-06-23,10.845833333333333
2014-06-24,13.091666666666667
2014-06-25,12.715277777777779
2014-06-26,12.463888888888889
2014-06-27,11.473611111111111
2014-06-28,11.406944444444443
2014-06-29,12.806944444444445
2014-06-30,13.38888888888889
2014-07-01,13.34142857142857
